city,time_period,filename,filepath,point_count,valid_point_count,temp_field,mean_temp,median_temp,std_temp,min_temp,max_temp,range_temp,percentile_25,percentile_75,iqr
"Abingdon, VA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Abingdon, VA/traverses_chw_abingdon_110121/af_trav.shp",18849,18612,temp_f,84.91416183107673,84.96,1.7049647990087198,79.87,89.87,10.0,83.81,86.18,2.3700000000000045
"Abingdon, VA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Abingdon, VA/traverses_chw_abingdon_110121/am_trav.shp",22074,22074,temp_f,65.49319787985866,65.29,1.0954075383929518,63.14,68.76,5.6200000000000045,64.69,66.33,1.6400000000000006
"Abingdon, VA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Abingdon, VA/traverses_chw_abingdon_110121/pm_trav.shp",18001,17986,temp_f,82.45718002891138,82.49,1.9728624688727687,76.79,87.52,10.72999999999999,81.06,83.96,2.8999999999999915
"Albuquerque, NM",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Albuquerque, NM/traverses_chw_albuquerque_100421/af_trav.shp",41876,41550,temp_f,99.35346666666666,99.35,1.7089951887077017,94.59,104.15,9.560000000000002,98.13,100.52,2.3900000000000006
"Albuquerque, NM",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Albuquerque, NM/traverses_chw_albuquerque_100421/am_trav.shp",28536,27439,temp_f,71.24420277706913,71.33,2.1642710362274773,65.1,77.22,12.120000000000005,69.92,72.745,2.825000000000003
"Arlington, VA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Arlington, VA/traverses_chw_arlington_102921/af_trav.shp",10535,10477,temp_f,91.24503006585854,91.07,1.4036609000937394,87.44,95.1,7.659999999999997,90.23,92.2,1.9699999999999989
"Arlington, VA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Arlington, VA/traverses_chw_arlington_102921/am_trav.shp",10814,10810,temp_f,71.80703977798335,71.57,1.196767519270125,68.9,75.4,6.5,70.85,72.72,1.8700000000000045
"Arlington, VA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Arlington, VA/traverses_chw_arlington_102921/pm_trav.shp",10851,10824,temp_f,87.46753880266074,87.23,1.3195819104879252,83.56,91.39,7.829999999999998,86.49,88.46,1.9699999999999989
"Asheville, NC",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Asheville, NC/traverses_chw_asheville_091123/af_trav.shp",17675,17675,temp_f,83.55043603916799,83.72587512027962,1.995199933362,74.26686632247062,92.15855986023394,17.891693537763317,82.72733690206965,84.75048306564034,2.0231461635706864
"Asheville, NC",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Asheville, NC/traverses_chw_asheville_091123/am_trav.shp",22153,22153,temp_f,64.22378253485311,64.52530256494745,1.1306114308266568,60.68074190712568,66.6366336610114,5.955891753885723,63.46234220528974,65.06462515214568,1.6022829468559436
"Asheville, NC",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Asheville, NC/traverses_chw_asheville_091123/pm_trav.shp",17573,17573,temp_f,78.93966173575876,79.1913721581943,2.141355787455231,72.182287030666,85.28802115488506,13.105734124219055,77.55986884504543,80.51255499946033,2.9526861544149057
"Atlanta, GA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Atlanta, GA/traverses_chw_atlanta_112921/af_trav.shp",23386,23386,temp_f,82.06213332763191,81.99,1.5524725256179077,77.68,86.86,9.179999999999993,80.96,83.09,2.1300000000000097
"Atlanta, GA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Atlanta, GA/traverses_chw_atlanta_112921/am_trav.shp",26830,26830,temp_f,60.48608237048081,60.31,1.4902498660830217,56.68,65.26,8.580000000000005,59.49,61.23,1.7399999999999949
"Atlanta, GA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Atlanta, GA/traverses_chw_atlanta_112921/pm_trav.shp",24664,24664,temp_f,76.290281381771,75.97,2.611571430695725,69.99,84.47,14.480000000000004,74.36,78.22,3.8599999999999994
"Austin, TX",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Austin, TX/traverses_chw_austin_101420/af_trav.shp",28652,28652,temp_f,95.9874745218484,95.9,0.855497550835935,93.02,100.03999999999999,7.019999999999996,95.36000000000001,96.62,1.259999999999991
"Austin, TX",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Austin, TX/traverses_chw_austin_101420/am_trav.shp",28125,28125,temp_f,75.3534464,75.56,1.4206836193632413,70.88,78.62,7.740000000000009,74.48,76.46000000000001,1.980000000000004
"Austin, TX",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Austin, TX/traverses_chw_austin_101420/pm_trav.shp",24779,24779,temp_f,93.7881690140845,93.74,0.9993934725489477,90.86000000000001,97.52,6.659999999999982,93.2,94.46000000000001,1.2600000000000051
"Baltimore, MD",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Baltimore, MD/traverses_chw_baltimore/af_trav.shp",47455,47455,temp_f,95.11990264461069,95.0,1.9346629451159396,86.18,104.53999999999999,18.359999999999985,93.91999999999999,96.26,2.3400000000000176
"Baltimore, MD",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Baltimore, MD/traverses_chw_baltimore/am_trav.shp",50094,50094,temp_f,78.36521379805964,78.62,1.7658759004913385,72.32,84.91999999999999,12.599999999999994,77.18,79.7,2.519999999999996
"Baltimore, MD",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Baltimore, MD/traverses_chw_baltimore/pm_trav.shp",50262,50262,temp_f,89.31193625402891,89.24,1.943739619149184,81.14,96.26,15.120000000000005,88.16,90.5,2.3400000000000034
"Bloomington, IN",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bloomington, IN/traverses_chw_bloomington_081424/af_trav.shp",9211,9211,temp_f,88.59476712626207,88.8,1.6982025332814767,81.1,93.5,12.400000000000006,87.9,89.7,1.7999999999999972
"Bloomington, IN",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bloomington, IN/traverses_chw_bloomington_081424/am_trav.shp",9481,9481,temp_f,68.39048623562915,68.2,1.214350167946939,63.8,72.1,8.299999999999997,67.6,69.2,1.6000000000000085
"Bloomington, IN",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bloomington, IN/traverses_chw_bloomington_081424/pm_trav.shp",9229,9229,temp_f,86.38383356810054,86.8,1.8521773819231702,79.0,90.1,11.099999999999994,86.0,87.5,1.5
"Boise, ID",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boise, ID/traverses_chw_boise/af_trav.shp",19297,19297,temp_f,90.58856817121833,90.68,1.255172256839505,85.64,98.96,13.319999999999993,89.78,91.22,1.4399999999999977
"Boise, ID",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boise, ID/traverses_chw_boise/am_trav.shp",22795,22795,temp_f,57.99711691160342,57.56,2.8286188119942772,50.9,67.28,16.380000000000003,55.94,59.54,3.6000000000000014
"Boise, ID",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boise, ID/traverses_chw_boise/pm_trav.shp",22069,22069,temp_f,90.09027142145091,90.14,1.725092549784954,82.94,96.08,13.14,89.06,91.22,2.1599999999999966
"Boston, MA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boston, MA/traverses_chw_boston/af_trav.shp",17029,17029,temp_f,91.29562980797463,91.22,1.5760276337593133,87.26,102.56,15.299999999999997,90.32,92.12,1.8000000000000114
"Boston, MA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boston, MA/traverses_chw_boston/am_trav.shp",20062,20062,temp_f,75.08857441930017,75.2,1.4585002708246613,71.6,84.38,12.780000000000001,73.94,76.1,2.1599999999999966
"Boston, MA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boston, MA/traverses_chw_boston/pm_trav.shp",20247,20247,temp_f,84.77456512075864,84.74,1.5246374659804938,78.62,91.58,12.959999999999994,83.84,85.82,1.9799999999999898
"Boulder, CO",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boulder, CO/traverses_chw_boulder_082222/af_trav.shp",9206,9206,temp_f,95.74363458613949,95.7,1.3312689404570892,91.9,101.2,9.299999999999997,94.9,96.4,1.5
"Boulder, CO",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boulder, CO/traverses_chw_boulder_082222/am_trav.shp",11614,11614,temp_f,69.81635095574306,69.8,4.3749825452037285,61.3,78.4,17.10000000000001,66.1,73.5,7.400000000000006
"Boulder, CO",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Boulder, CO/traverses_chw_boulder_082222/pm_trav.shp",6307,6307,temp_f,86.64956397653401,86.7,1.28083693485008,82.9,90.8,7.8999999999999915,85.8,87.5,1.7000000000000028
"Brockton, MA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brockton, MA/traverses_chw_brockton_092823/af_trav.shp",10090,10090,temp_f,86.60595639246779,86.7,1.515052718365414,79.7,92.7,13.0,85.7,87.6,1.8999999999999915
"Brockton, MA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brockton, MA/traverses_chw_brockton_092823/am_trav.shp",9775,9775,temp_f,64.55549872122764,64.6,0.873374379944318,61.8,67.3,5.5,64.0,65.1,1.0999999999999943
"Brockton, MA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brockton, MA/traverses_chw_brockton_092823/pm_trav.shp",8318,8318,temp_f,81.63827843231546,81.8,1.5008097576731532,75.2,85.8,10.599999999999994,81.0,82.6,1.5999999999999943
"Bronx and Manhattan, NY",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bronx and Manhattan, NY/traverses_chw_bronx_manhattan_010522/af_trav.shp",12309,12309,temp_f,83.19025834755057,83.21,1.3510466233657463,79.54,87.02,7.47999999999999,82.25,84.12,1.8700000000000045
"Bronx and Manhattan, NY",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bronx and Manhattan, NY/traverses_chw_bronx_manhattan_010522/am_trav.shp",14942,14942,temp_f,70.95773122741265,71.06,1.4101493186292353,67.02,74.34,7.320000000000007,70.21,71.89,1.6800000000000068
"Bronx and Manhattan, NY",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Bronx and Manhattan, NY/traverses_chw_bronx_manhattan_010522/pm_trav.shp",15135,15135,temp_f,78.79983085563264,78.89,1.1097011078933032,75.68,81.88,6.199999999999989,78.01,79.56,1.5499999999999972
"Brooklyn, NY",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brooklyn, NY/traverses_chw_brooklyn_092922/af_trav.shp",15105,15105,temp_f,90.05407480966566,90.1,1.3946920632782727,85.4,95.4,10.0,89.1,91.0,1.9000000000000057
"Brooklyn, NY",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brooklyn, NY/traverses_chw_brooklyn_092922/am_trav.shp",16767,16767,temp_f,77.63599332021232,77.7,0.7275823239507648,73.9,80.4,6.5,77.3,78.1,0.7999999999999972
"Brooklyn, NY",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Brooklyn, NY/traverses_chw_brooklyn_092922/pm_trav.shp",9219,9219,temp_f,87.78699425100335,87.7,0.9017820283357154,85.0,91.0,6.0,87.2,88.4,1.2000000000000028
"Buffalo and Erie County, NY",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Buffalo and Erie County, NY/traverses_chw_buffalo_00925/af_trav.shp",19363,19363,temp_f,87.61808087589732,87.7,1.5629023761871765,81.9,92.7,10.799999999999997,86.5,88.8,2.299999999999997
"Buffalo and Erie County, NY",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Buffalo and Erie County, NY/traverses_chw_buffalo_00925/am_trav.shp",19599,19599,temp_f,71.46495229348437,71.8,2.2531833780201276,60.4,74.8,14.399999999999999,70.9,72.9,2.0
"Buffalo and Erie County, NY",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Buffalo and Erie County, NY/traverses_chw_buffalo_00925/pm_trav.shp",19455,19455,temp_f,85.51145720894371,85.6,1.4881448106768398,80.0,89.4,9.400000000000006,84.4,86.8,2.3999999999999915
"Burlington, VT",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Burlington, VT/traverses_chw_burlington_101620/af_trav.shp",16136,16136,temp_f,85.22678978681209,85.28,1.0066275454728595,79.88,89.42,9.540000000000006,84.56,85.82,1.259999999999991
"Burlington, VT",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Burlington, VT/traverses_chw_burlington_101620/am_trav.shp",18877,18877,temp_f,67.38827461990782,67.46000000000001,0.733626690644037,65.30000000000001,70.7,5.3999999999999915,66.92,68.0,1.0799999999999983
"Burlington, VT",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Burlington, VT/traverses_chw_burlington_101620/pm_trav.shp",16897,16897,temp_f,77.50343966384565,77.72,1.8221571853481997,73.4,82.58000000000001,9.180000000000007,75.74000000000001,78.98,3.239999999999995
"Charleston, SC",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charleston, SC/traverses_chw_charleston_111821/af_trav.shp",18957,18957,temp_f,91.83155193332279,91.89,1.4507942200283,87.35,95.93,8.580000000000013,90.91,92.8,1.8900000000000006
"Charleston, SC",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charleston, SC/traverses_chw_charleston_111821/am_trav.shp",23401,23401,temp_f,81.94088030426052,81.98,0.8085118379255923,79.7,84.17,4.469999999999999,81.48,82.51,1.0300000000000011
"Charleston, SC",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charleston, SC/traverses_chw_charleston_111821/pm_trav.shp",15590,15590,temp_f,79.71487876844131,79.61,2.1019731608072068,74.08,85.85,11.769999999999996,78.07,81.25,3.180000000000007
"Charlotte, NC",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlotte, NC/traverses_chw_charlotte_082324/af_trav.shp",23558,23558,temp_f,94.95851090924528,95.3,2.4953461102579477,86.3,105.0,18.700000000000003,93.6,96.7,3.1000000000000085
"Charlotte, NC",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlotte, NC/traverses_chw_charlotte_082324/am_trav.shp",24387,24387,temp_f,77.11825152745314,77.0,1.6161883803194121,72.7,81.9,9.200000000000003,76.0,78.1,2.0999999999999943
"Charlotte, NC",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlotte, NC/traverses_chw_charlotte_082324/pm_trav.shp",22958,22958,temp_f,92.72016726195662,92.9,2.0186986619429805,85.3,98.5,13.200000000000003,91.3,94.1,2.799999999999997
"Charlottesville, VA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/af_trav.shp",10250,10250,temp_f,93.34940390243902,93.49,1.1279672395278977,90.14,96.4,6.260000000000005,92.68,94.13,1.4499999999999886
"Charlottesville, VA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/am_trav.shp",12298,12298,temp_f,71.66068872987478,71.59,1.2073688097308313,68.44,74.98,6.540000000000006,70.86,72.48,1.6200000000000045
"Charlottesville, VA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/pm_trav.shp",11853,11853,temp_f,87.13838774993673,87.52,2.049242521476738,81.31,91.31,10.0,85.83,88.69,2.8599999999999994
"Chicago, IL",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/af_trav.shp",48855,48855,temp_f,91.83454712926007,92.2,2.4876789880580086,77.1,99.1,22.0,91.0,93.3,2.299999999999997
"Chicago, IL",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/am_trav.shp",39744,39744,temp_f,76.11173762077294,76.1,1.0704832272260403,72.7,81.1,8.399999999999991,75.4,76.8,1.3999999999999915
"Chicago, IL",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/pm_trav.shp",50834,50834,temp_f,84.20427469803674,83.9,2.8688415469968227,76.4,92.1,15.699999999999989,82.1,86.3,4.200000000000003
"Cincinnati, OH",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/af_trav.shp",23480,23480,temp_f,83.53300340715502,83.48,1.3390307747252501,78.80000000000001,88.34,9.539999999999992,82.58000000000001,84.38,1.799999999999983
"Cincinnati, OH",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/am_trav.shp",25274,25274,temp_f,70.4224222521168,70.34,1.4623460706334057,66.02,74.66,8.64,69.44,71.24000000000001,1.8000000000000114
"Cincinnati, OH",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/pm_trav.shp",26413,26413,temp_f,83.51780184000303,83.48,1.6259796027404585,77.18,89.06,11.879999999999995,82.58000000000001,84.56,1.9799999999999898
"Clark County, NV",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/af_trav.shp",37355,37355,temp_f,90.20414670057555,90.0,1.9492474080523947,85.3,96.4,11.100000000000009,88.8,91.5,2.700000000000003
"Clark County, NV",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/am_trav.shp",54432,54432,temp_f,80.33947310405642,80.3,1.964428430374992,75.0,84.8,9.799999999999997,78.8,82.1,3.299999999999997
"Clark County, NV",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/pm_trav.shp",43764,43764,temp_f,88.53359382140573,88.3,1.8325363887816712,83.6,93.4,9.800000000000011,87.1,90.0,2.9000000000000057
"Clarksville, IN",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clarksville, IN/traverses_chw_clarksville_111521/af_trav.shp",6921,6921,temp_f,91.4294451668834,91.44,1.1889778969564853,88.2,94.76,6.560000000000002,90.63,92.25,1.6200000000000045
"Clarksville, IN",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clarksville, IN/traverses_chw_clarksville_111521/am_trav.shp",9917,9917,temp_f,71.32163658364423,71.36,1.7063928029406195,67.18,76.06,8.879999999999995,70.08,72.61,2.530000000000001
